#OTU ID,C1,W2,C2,S1,A1,K1,G2,I2,A2,Q2,V2,X2,U1,T1,Z2,Y2,W1,G1,K2,S2,I1,V1,Q1,X1,D1,U2,Y1,D2,T2,Z1,E2,E1,L1,P2,H2,N2,J1,R1,F2,M1,O2,B2,B1,L2,P1,J2,N1,H1,F1,R2,O1,M2
4a83156b9296993ba23cb149f2315949,107,322,80,0,11,204,171,11,31,50,8,74,64,189,88,52,332,166,168,0,5,2,51,69,210,37,47,150,143,111,37,67,76,49,45,0,0,103,187,155,171,17,20,43,78,0,0,28,154,139,139,102
317116344c2a65a2da4eb764ff073cfd,106,0,109,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd73b5778b40361d9cd6ae7bf2b34db6,103,31,84,2,22,36,134,16,61,620,5,9,46,10,12,110,19,120,51,5,15,0,485,6,96,57,129,105,16,12,44,57,210,22,178,0,3,230,49,246,43,3,0,169,24,0,0,154,26,262,23,194
a429259c703b5efbdb4e3d3aa0c0f1c7,100,1,75,23,18,0,733,0,40,287,0,193,35,0,0,74,0,848,0,63,0,0,416,144,350,45,55,197,0,0,70,99,246,65,123,123,55,430,4,341,0,421,390,179,107,91,74,159,12,464,0,244
42372964f4318e16367fff6dee5a0668,94,152,70,2,4,45,6,148,2,0,354,782,43,130,49,5,221,4,51,5,167,271,0,605,135,26,10,38,114,85,64,81,4,245,0,28,12,0,144,51,57,906,673,0,593,2,49,3,91,2,64,30
5d5972a4cbd35da36b184d03923d1865,91,209,58,0,0,17,0,28,0,0,49,36,164,20,50,82,186,0,25,0,20,53,0,18,14,126,76,20,26,19,122,243,0,13,0,0,0,0,155,29,22,0,0,0,16,0,0,0,96,0,29,28
ccc81b94e2c451dbd0c3bbb0df531486,91,44,47,954,39,921,15,911,55,35,540,110,78,472,19,63,51,27,874,979,1003,513,46,80,0,24,33,56,411,15,22,16,72,165,83,1436,31,16,76,59,44,953,742,68,223,41,1330,66,47,36,40,60
ef569b91a524a657ab8cb74ec6860d51,88,0,54,0,78,7,161,0,183,501,0,0,1,0,0,80,0,209,0,0,0,0,429,0,71,7,125,35,3,0,0,3,67,0,108,3,0,598,0,1425,16,0,0,79,0,0,2,102,0,661,0,1198
2af3c75dc170116b7b57eeb60f5e69a2,85,0,65,0,0,0,0,18,0,0,22,0,58,0,0,21,3,0,0,0,16,11,0,0,0,97,22,0,0,0,69,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ef541bf00a738924c00d1e0119d60e20,81,597,66,4,0,878,43,180,0,210,182,316,229,716,266,41,626,52,983,1,201,158,257,194,200,207,26,182,849,274,170,208,134,169,59,9,0,67,734,203,395,44,47,121,107,0,3,34,600,65,420,178
